x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.3652878,43131.4628005,0.0,0.0,0.0,0.912904651540666,0.408172876604283,20.0
89630.0268431,43131.8336222,0.0,0.0,0.0,0.9120999400595604,0.4099679247738125,20.0
89629.6901793,43132.2041021,0.0,0.0,0.0,0.911225753833769,0.4119073021325057,20.0
89629.3555235,43132.5744986,0.0,0.0,0.0,0.910309827292932,0.4139275520352716,20.0
89629.0231029,43132.9450701,0.0,0.0,0.0,0.9093805814369752,0.4159650924120303,20.0
89628.6931446,43133.3160751,0.0,0.0,0.0,0.9084649384901126,0.41796106940019667,20.0
89628.3618356,43133.6923115,0.0,0.0,0.0,0.9075817593390314,0.41987539832082144,20.0
89628.0324159,43134.0701635,0.0,0.0,0.0,0.9067400511280678,0.4216900279592453,20.0
89627.7054517,43134.4487867,0.0,0.0,0.0,0.9059367752459629,0.42341298900357993,20.0
89627.380753,43134.8281904,0.0,0.0,0.0,0.9051675903086367,0.4250548593474213,20.0
89627.05813,43135.2083838,0.0,0.0,0.0,0.9044279697776417,0.4266263558242659,20.0
89626.7373929,43135.5893763,0.0,0.0,0.0,0.9037129416929527,0.4281389015455964,20.0
89626.417019,43135.9727888,0.0,0.0,0.0,0.9030078135823316,0.4296241247989421,20.0
89626.0978279,43136.3575443,0.0,0.0,0.0,0.9022997666762277,0.431109186930672,20.0
89625.7800956,43136.7432379,0.0,0.0,0.0,0.9015767977826018,0.43261909077162725,20.0
89625.4637025,43137.1299366,0.0,0.0,0.0,0.9008261160075106,0.4341800418246134,20.0
89625.1485288,43137.5177074,0.0,0.0,0.0,0.9000345848975438,0.43581847825477277,20.0
89624.8344551,43137.9066175,0.0,0.0,0.0,0.8991891691187099,0.4375600966034312,20.0
89624.5218294,43138.2961711,0.0,0.0,0.0,0.8982888868067113,0.4394053661934041,20.0
89624.2104328,43138.6867745,0.0,0.0,0.0,0.8973459715734526,0.44132777762213915,20.0
89623.9002688,43139.0786707,0.0,0.0,0.0,0.8963769139551235,0.44329271156684846,20.0
89623.5915028,43139.4719021,0.0,0.0,0.0,0.8953985711123367,0.4452655374604976,20.0
89623.2843006,43139.866511,0.0,0.0,0.0,0.8944279832331431,0.44721201102999497,20.0
89622.9788277,43140.2625399,0.0,0.0,0.0,0.8934784612405625,0.44910604460327264,20.0
