x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89630.4488,43130.947,0.0,0.0,0.0,0.8756752065005426,0.48290054123000525,20.0
89629.0488,43133.347,0.0,0.0,0.0,0.8756752065007394,0.4829005412296485,20.0
89627.6488,43135.747,0.0,0.0,0.0,0.8797118679897059,0.4755071285670302,20.0
89625.8488,43138.147,0.0,0.0,0.0,0.8756752065006922,0.482900541229734,20.0
89624.2488,43140.547,0.0,0.0,0.0,0.873600198779744,0.48664431846266504,20.0
89622.8488,43142.947,0.0,0.0,0.0,0.8714866993368663,0.49041914000060643,20.0
89621.4488,43145.347,0.0,0.0,0.0,0.8579689424785475,0.5137015609692489,20.0
89619.8488,43147.747,0.0,0.0,0.0,0.8292143141954934,0.5589307838483202,20.0
89618.4488,43150.147,0.0,0.0,0.0,0.7725886415851485,0.6349069151408063,20.0
89616.6488,43152.547,0.0,0.0,0.0,0.6821738786122259,0.7311899885386507,20.0
89615.2488,43154.947,0.0,0.0,0.0,0.5557194468765068,0.8313698914221451,20.0
89613.8488,43157.347,0.0,0.0,0.0,0.34694624773500304,0.9378850149046001,20.0
89612.6488,43159.747,0.0,0.0,0.0,0.10720130267375508,0.9942373362055209,20.0
89612.4488,43162.147,0.0,0.0,0.0,-0.09254137740921506,0.995708839705265,20.0
89613.0488,43164.547,0.0,0.0,0.0,-0.2410519483980416,0.9705122143350428,20.0
89615.2488,43166.347,0.0,0.0,0.0,-0.3522359260089528,0.935911241747109,20.0
89617.6488,43166.947,0.0,0.0,0.0,-0.42415539624974613,0.9055894212236696,20.0
89620.0488,43166.547,0.0,0.0,0.0,-0.47061915678331545,0.8823364490196249,20.0
89622.2488,43164.547,0.0,0.0,0.0,-0.49041914000079856,0.8714866993367582,20.0
89623.6488,43162.147,0.0,0.0,0.0,-0.4904191400005227,0.8714866993369134,20.0
89625.2488,43159.747,0.0,0.0,0.0,-0.4980607264560554,0.8671421525690389,20.0
89626.6488,43157.347,0.0,0.0,0.0,-0.4942247162133754,0.869334187688376,20.0
89628.2488,43154.947,0.0,0.0,0.0,-0.4942247162133754,0.869334187688376,20.0
89629.6488,43152.547,0.0,0.0,0.0,-0.474346619300908,0.8803381650012678,20.0
89631.0488,43150.147,0.0,0.0,0.0,-0.4278886473504113,0.9038314585522211,20.0
89632.4488,43147.747,0.0,0.0,0.0,-0.3517266732088819,0.9361027440155341,20.0
89633.8488,43145.347,0.0,0.0,0.0,-0.23264843891874734,0.9725608998251317,20.0
89635.0488,43142.947,0.0,0.0,0.0,-0.07862719483599138,0.9969040897860852,20.0
89636.6488,43140.547,0.0,0.0,0.0,0.1311187276466321,0.9913666724579399,20.0
89638.2488,43138.147,0.0,0.0,0.0,0.3826834323650898,0.9238795325112867,20.0
89640.4488,43136.147,0.0,0.0,0.0,0.5908080463675947,0.8068121543130756,20.0
89642.8488,43135.747,0.0,0.0,0.0,0.7118680635475287,0.7023132207933235,20.0
89645.2488,43136.547,0.0,0.0,0.0,0.7899655395117553,0.6131512426668492,20.0
89647.2488,43138.547,0.0,0.0,0.0,0.8402880071307841,0.5421402632826446,20.0
89647.6488,43140.947,0.0,0.0,0.0,0.8649100931184781,0.501926818193435,20.0
89647.0488,43143.347,0.0,0.0,0.0,0.8736001987799435,0.48664431846230694,20.0
